question,answer
Descreve os horários que devem ser mostrados pela assistente:,"Fique por dentro de *nossos horários*: 

* Check-in: a partir das 15h 
* Check-out: até às 12h 
* Café da manhã: das 07h às 10h30 
* Almoço: das 12h30 às 15h 
* Jantar: das 19h às 22h30 
* Ceia: 23h30 às 05h 
* Restaurantes a la carte: das 19h às 22h 
* Piscinas: das 08h às 18h. 

Lembrando que pelo nosso aplicativo, você pode agendar a sua refeição. Já baixou? https://linktr.ee/costadosauipe"
Mensagem de confimação do pedido de reposição,Revisão - Aviva
Mensagem de confimação do pedido de comida,Revisão - Aviva
Mensagem de instrução para envio do pedido de reposição do frigobar,Revisão - Aviva
"Qual mensagem enviar assim que o usuário clicar em Mapa, antes de enviar a imagem?",Revisão - Aviva
"O que informar quando o usuário clicar em Previsão do Tempo, antes de mostrar a previsão?","Não sou meteorologista, mas tenho as minhas fontes! :) Veja só como está em Costa do Sauípe:"
O que informar quando o usuário clicar em Recreação Infantil?,"Olha só a programação especial que temos para a criançada! 🍭
"
O que informar após o usuário selecionar Extrato?,🧾 Segue o extrato da sua estadia conosco:
O que informar após o usuário selecionar Minha reserva?,Aqui você pode gerenciar sua reserva. ⚙️
Mensagem sobre as opções antes do envio do cardápio,Revisão - Aviva
Informação sobre como acessar o wi-fi,"Para utilizar o wi-fi, basta procurar a rede *Aviva* e conectar à ela. Em seguida irá abrir uma página onde será necessario colocar o *e-mail* e *telefone*, ou uma *rede social*. Após este cadastro, o sinal já estará liberado e pronto para uso 😉"
"O que informar quando o usuário clicar em Bares & Restaurantes, antes de mostrar as opções?","Hum, bateu a fome né? 😋"
O que responder se o hóspede perguntar sobre restrição alimentar?,Revisão - Aviva
O que a assistente deve responder quando perguntarem sobre energia do apartamento?,"Ao realizar o check-in você recebe um cartão de energia. Para utilizar, basta colocar o cartão no suporte próximo a entrada do apartamento para ativar a energia."
O que responder se o hóspede perguntar tem algum espaço para trabalho?,Todos os apartamentos possuem área de trabalho para sua comodidade.
O que responder quando pedirem um travesseiro extra?,Revisão - Aviva
O que responder se perguntarem sobre serviço de babá?,Revisão - Aviva
O que responder se perguntarem sobre área para fumantes e se tem quarto para fumantes?,"Não é permitido fumar nos quartos, apenas em áreas específicas para fumantes."
O que responder nas perguntas sobre amenities disponíveis?,Revisão - Aviva
O que responder nas perguntas sobre secador de cabelo?,"Nas categorias Resorts e Premium todos os apartamentos têm secador de cabelo. Na categoria Pousadas, você pode consultar a recepção se há algum disponível para empréstimo."
"O que responder nas perguntas sobre massagens, massoterapeuta?","As cabanas de massagens encontram-se próximas às piscinas das alas Premium Brisa, Premium Sol, Mar e Terra. O horário de funcionamento é das 09h às 18h. Para mais informações e reservas, é entrar em contato com a nossa equipe de atendimento humano através do menu principal."
O que responder se perguntarem se tem escova de dente e pasta de dente para vender?,Revisão - Aviva
O que responder se o hóspede informar que está com algum problema de manutenção/infra-estrutura no quarto?,"Para qualquer tipo de solicitação de manutenção nos quartos, você pode entrar em contato com a Premium Service através, é só digitar 9 do seu quarto, para que eles acionem o quanto antes alguém para fazer a manutenção. Vai dar tudo certo, eles são feras! ;)"
O que responder se perguntarem sobre dicas de restaurantes fora do hotel?,"Temos 3 restaurantes incríveis! 😉
- *Baêa*, com comida típica baiana.
_*Dias de Funcionamento*_: Quartas-feiras e sextas-feiras
- *Benditos Frutos*, com cardápio especial de frutos do mar.
_*Dias de Funcionamento*_: Segundas-feiras, quintas-feiras e sábados
- *La Villa*, com menus degustação e foco na cozinha contemporânea.
_*Dias de Funcionamento*_: Todos os dias exceto segundas-feiras
📌Todos eles tem o *horário de funcionamento* das 19h às 22h30.
📌Necessário fazer *reserva* antecipadamente - consulte a recepção ou ligue no ramal 9 para o agendamento."
O que responder quando perguntarem sobre o que o quarto dispõe?,"Todos os quartos possuem travesseiros, lençóis, toalhas de banho, de piso e de rosto, shampoo, condicionar, sabonete, secador de cabelo, cofre, ar-condicionado, TV, telefone, frigobar e armário com cabides."
Mensagem ao usuário enquanto a assistente verifica se tem atendentes disponíveis:,Hum.. só um minutinho..
O que a assistente deve mandar quando perguntarem sobre lazeres fora do resort?,Aqui na região temos lindas praias. As mais próximas fora do resort são Imbassaí e Praia do Forte. Você pode procurar a GROU na Vila Nova da Praia para conhecer um pouco mais as opções de passeio.
"O que informar quando o usuário clicar em Promoções, antes de mostrar as opções?","Para ficar por dentro das nossa promoções e novidades, acompanhe nossa redes socias e não perca nenhum detalhe."
O que responder quando perguntarem sobre as acomodações?,Revisão - Aviva
O que responder quando perguntarem sobre day use?,"Devido à pandemia do COVID-19, estamos com ocupação e capacidade reduzidas. Por isso, neste período o acesso fica restrito para hóspedes."
"O que a assistente deve responder quando mandarem ""Feliz Natal""?",Oba! Feliz Natal para você também 🎅
"O que a assistente deve responder quando mandarem ""Feliz Ano Novo""?",Revisão - Aviva
O que informar quando o usuário clicar em lazer/atrações?,"Boa escolha! Vem comigo, vou te mostrar tudo de legal que temos por aqui 😉"
O que mandar de introdução ao conteúdo de serviços?,Aqui no resort temos alguns serviços disponíveis para a sua comodidade!
"Qual mensagem enviar assim que o usuário clicar no menu de bem estar, antes de mostrar as opções?",Olha só as opções que temos para você poder relaxar e se sentir bem:
O que a assistente deve responder quando perguntarem sobre horário do checkin?,"O check-in é feito a partir das 15h. Você sabia que pode realizar o web ckeck in? É só clicar nesse link: http://webcheckin.aviva.com.br/ e realizar tudo de forma antecipada e sem contato. Assim, todos nos mantemos seguros principalmente neste período de pandemia."
Mensagem de acolhimento ao usuário que está retornando,"Que bom falar com você novamente, {{nomeViajante}}! 💛"
O que a assistente deve responder quando perguntarem como chegar ao resort/hotel?,"*De carro* Saindo de Salvador, basta seguir em direção as praias do Norte pela linha verde (também conhecida com BA099). Vá até o Km 74, no Município de Mata de São João, a pista é muito boa e bastante sinalizada.
*De Transfer* O serviço de translado pode ser contratado em diversas empresas locais, que custa R$ 130 reais por pessoa em média. As crianças até 11 anos pagam metade do valor, este valor é para o trecho Aeroporto/Costa do Sauípe – Costa do Sauípe/Aeroporto."
O que a assistente deve responder quando perguntarem sobre o que pode ser consumido no all inclusive?,"O All Inclusive contempla café da manhã, almoço, jantar, petiscos variados, nos restaurantes, bares ou à beira da piscina do seu hotel, a ceia na madrugada com todas as bebidas inclusas obedecendo os horários de funcionamentos de cada restaurante."
O que a assistente deve responder quando perguntarem sobre check-in e checkout diferenciado?,"O horário padrão do nosso check-in é a partir das 15:00h e o check out até as 12:00h Para a entrada antecipada ou saída tardia será mediante a disponibilidade do dia e sujeita a cobrança de taxas extras, que poderá ser verificado diretamente na recepção do hotel."
O que a assistente deve responder se perguntarem sobre horário do restaurante?,Revisão - Aviva
Qual promoção vigente?,Revisão - Aviva
O que responder em casos de assédio?,"Olá! Sentimos muito que tenha passado por essa situação. 🙁

Na Aviva, acreditamos na transformação cultura e em uma sociedade mais inclusiva. Não compactuamos com atitudes de preconceito, violência e desmerecimento do próximo.

Caso deseje, nos envie uma mensagem contando mais detalhes sobre o ocorrido através das opções Menu principal -> Feedback, se preferir, você também pode realizar uma denúncia pelo Canal de Ética: https://canaldeetica.com.br/avivaalgarflc/.

Estamos aqui para te ajudar!"
O que responder em casos de preconceito?,"Olá! Sentimos muito que tenha passado por essa situação. 🙁

Na Aviva, acreditamos na transformação cultura e em uma sociedade mais inclusiva. Não compactuamos com atitudes de preconceito, violência e desmerecimento do próximo.

Caso deseje, nos envie uma mensagem contando mais detalhes sobre o ocorrido através das opções Menu principal -> Feedback, se preferir, você também pode realizar uma denúncia pelo Canal de Ética: https://canaldeetica.com.br/avivaalgarflc/.

Estamos aqui para te ajudar!"
Qual a mensagem enviar quando a assistente não reconheceu o nome informado pelo cliente e vamos solicitar novamente?,"Desculpe, não consegui entender! 😕 Vamos tentar de novo?
"
Mensagem de introdução para Late Checkout,Vamos lá! Estou feliz com a possibilidade de termos mais tempo juntos!! 😁😁
Mensagem para perguntar em que hotel o hospede está,"Só me diz uma coisa, onde você está hospedado mesmo?"
Informações sobre Late Checkout para Ala Terra,"Ala Terra
👉🏻 Early check-in entre 7h e 11h: R$80 por adulto
👉🏻 Late check-out até às 14h: R$80 por adulto com apartamento
👉🏻 Late check-out até às 18h: R$160 por adulto com apartamento"
Informações sobre Late Checkout para Ala Sol,"👉🏻 Early check-in entre 7h e 11h: R$120 por adulto
👉🏻 Late check-out até às 14h: R$120 por adulto com apartamento
👉🏻 Late check-out até às 18h: R$240 por adulto com apartamento"
Informações sobre Late Checkout para Premium Brisa,"👉🏻 Early check-in entre 7h e 11h: R$150 por adulto
👉🏻 Late check-out até às 14h: R$150 por adulto com apartamento
👉🏻 Late check-out até às 18h: R$300 por adulto com apartamento"
Mensagem para enviar antes de direcionar para o fluxo de agendamento de massagem,"👉🏻 Em nossa lista de agendamentos, os itens ✅ estão inclusos na sua experiencia e os itens com 💲 poderão ser adicionados à sua conta para pagamento no check-out."
Mensagem para enviar antes de direcionar para o fluxo de agendamento,"👉🏻 Em nossa lista de agendamentos, os itens ✅ estão inclusos na sua experiencia e os itens com 💲 poderão ser adicionados à sua conta para pagamento no check-out. 

👉🏻 Lembrando que para jantares nos restaurantes à la carte, o agendamento deve ser feito das 9h00 às 15h00."
Dica para ser enviada na sexta-feira:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada na segunda-feira:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada no Sábado:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada no domingo:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada na quinta-feira:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada na terça-feira:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada na quarta-feira:,"*DICAS DA SOL 😎*
📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor.
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
Dica para ser enviada no sábado:,"*DICAS DA SOL 😎*
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades *(Infantil, Hotel e Quadras)* estão sendo realizadas com um número limitado de participantes e para participar é necessário efetuar a reserva aqui comigo, no menu *agendamentos*;
📌Aproveite a Indicação das Tábuas de Maré: 
	- *Baixa* ideal para curtir a praia com as crinanças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; 
	- *Alta* fique atento, mas aproveite para pegar aquela onda!
📌Programação está sujeita a alteração.
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis.
📌 Praia está com redução de espreguiçadeiras e o serviço está funcionando com cuidados redobrados 🏖️   Mas lembre-se sempre de respeitar o distanciamento 😉
📌As luzes das quadras de Tênis só funcionam das 18h as 20h
📌Já separamos uma playlist especial para você. Por isso, e em respeito aos demais hóspedes, **não é permitido o uso de caixas de som** 🔈"
"O que a assistente deve mandar de ""Dicas da Sol"" após enviar a programação infantil?","*DICAS DA SOL 😎* 

📌*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis. 
📌Devido a Covid-19 e para sua segurança e de todas sua família, todas as nossas atividades (Infantil, Hotel e Quadras) estão sendo realizadas com um número limitado de participantes e para participar é necessário se inscrever com o monitor. 
📌Aproveite a Indicação das Tábuas de Maré: Baixa ideal para curtir a praia com as crianças, tirar uma linda foto entre as pedras e também aproveitar as piscinas naturais; Alta fique atento, mas aproveite para pegar aquela onda! 
📌Programação está sujeita a alteração. 
📌Não se esqueça de passar nas nossas lojinhas lá na Vila Nova da Praia. Lembrando que para compras lá, você precisa levar dinheiro e/ou cartão de crédito.
📌As luzes das quadras de Tênis só funcionam das 18h as 20h"
Quais os links para avaliação no Tripadvisor,"📌 Não se esqueça fazemos tudo com muito carinho pra vc, por isso sua avaliação é muito importante pra gente, clica aqui é fácil e rápido: 

👉🏻 Hospedado na Premium Brisa: https://bit.ly/39ovQl6 
👉🏻 Hospedado na Ala Sol: https://bit.ly/2YiuH8j 
👉🏻 Hospedado na Ala Terra: https://bit.ly/2YhQInI 
👉🏻 Toca da Zooeira: https://bit.ly/2YhQInI"
Qual  mensagem especial deve ser enviada antes do menu principal?,"👉🏻Dica do dia:  Preparamos uma programação Especial pra você, se divertir e se deliciar  em família

Saudade de um São João? Arraiô é a nossa programação especial de Junho e Julho e traz todo o clima junino com muitas atrações, brincadeiras e atividades. Confira a programação especial do evento no Menu Principal -> Arraiô. Prepare o chapéu e venha se divertir com segurança!  🤠"
O que responder sobre Projeto Tamar?,"O litoral norte da Bahia é uma das mais importantes áreas reprodutivas de tartarugas marinhas no Brasil. 🐢
Durante a época de desova as praias são monitoradas por uma equipe de pesquisadores da Fundação Projeto Tamar, que identifica, marca e monitora os ninhos até o nascimento dos filhotes. 

👉🏼 Visite o Centro de Visitantes em Praia do Forte para conhecer e colaborar com esse importante trabalho de conservação marinha e veja esses animais incríveis de pertinho! 
Saiba mais: site ou appFale conosco: whatsapp CV"
Aceitam crianças na hospedagem?,"Sim, aceitamos! 😊

A Costa do Sauípe é o melhor destino de viagem para a criançada.
"
Aceitam idoso na hospedagem?,"Sim, aceitamos! 😊

A Costa do Sauípe é o melhor lugar para o turismo na terceira idade.

"
Tem desconto para terceira idade?,"Vamos lá! 😊

Você pode conferir todas as nossas condições especiais através do site: https://www.costadosauipe.com.br/pacotes-promocionais. Aproveite e garanta uma viagem esplêndida!
"
Tem desconto para criança?,"Vamos lá! 😊

Você pode conferir todas as nossas condições especiais através do site: https://www.costadosauipe.com.br/pacotes-promocionais. Vem planejar suas próximas férias com a gente! 
"
Preciso fazer teste PCR para me hospedar?,"Seguindo os protocolos municipais da Costa do Sauípe, atualmente, não há necessidade de apresentar teste PCR ou qualquer outro teste de Covid-19.
"
"Qual mensagem enviar de início, antes do menu principal?","Vou te mostrar as opções, caso nenhuma te atenda, tente digitar o que você precisa."
"Qual mensagem enviar quando o usuário escolher a opção ""Faça sua solicitação"" no menu principal?","Vou te mostrar as solicitações que mais atendo por aqui, escolha a opção desejada:"
Quais são os horários de funcionamento geral do local que o hóspede precisa saber?,"🕑 Fique por dentro dos nossos horários: 

🛄 *Check-in*: a partir das 15h. Para entrar antes deste horário, verifique a disponibilidade e valores com a recepção do seu hotel.

🛎️ *Check-out*: até às 12h, após esse horário será cobrado um valor à parte — verificar condição e disponibilidade na recepção.

🍽️ *Restaurantes dos hotéis*:

Café da manhã: 07h às 10h30 
Almoço: 12h30 às 15h 
Jantar: 19h às 22h 
Ceia: 23h30 às 05h 

👶 *Copa do bebê*: 24h

🥘 *Restaurantes Temáticos*: 19h às 22h | Mediante agendamento na Sol.

🍹 *Bares*: 
Bar do lobby: 10h à 01h
Bares das piscinas: 10h às 18h
Restaurantes das piscinas | Os petiscos são servidos das 11h às 18h.

🏊‍♀️ *Piscinas dos hotéis*: 08h às 18h

🚗 *Transfer*: 
    8h30| a cada 30min
    Após às 23h | Mediante solicitação na recepção.

💊 *Farmácia*: 8h às 22h | Localizada na Vila Nova da Praia.

🎡 *Quermesse da Vila*: segunda a sábado das 19h às 22h30 | Consumo à parte. 

🎊 *Vila Nova da Praia*: 15h às 23h | Consumo à parte.

🎾 *Empréstimo de equipamentos esportivos*: a retirada e devolução ocorre entre às 9h e 16h na Toca da Zooeira."
O que responder quando tiver atendente disponível antes de enviar para o atendimento humano?,"Legal, vi que temos alguém para te ajudar! 👩‍💻 Só um momento que já estou te direcionando…
"
Como pedir o feedback CSAT para o usuário após encerramento do atendimento humano?,"Espero muito ter te ajudado a deixar sua viagem ainda melhor! De 0 a 10, o que você achou do meu atendimento?"
Qual mensagem enviar quando o usuário enviar um conteúdo não suportado pelo bot? (Exemplo: áudio e imagem),"Hum! 🤔
Percebi que você mandou uma mensagem em um formato que eu, por enquanto, não consigo entender. Vamos tentar novamente apenas com texto, por favor! 
"
O que responder se perguntarem o nome do assistente digital?,"Olá! Me chamo Sol, sou a assistente virtual da Aviva. 😊
"
Qual mensagem enviar quando o usuário selecionar Jogar Tênis?,"Além de estar no paraíso, aqui você pode ter os melhores sets e sempre elevar o game. Procurando parceiros para jogar? Conecte-se no nosso grupo de Whatsapp através do link e encontre alguém para jogar: https://chat.whatsapp.com/Laz9bkVElAtLbZjVRmm5Yu"
O que responder quando mandarem frases com intenções de suicidio?,"Você é importante e nos preocupamos com a sua vida! 💛

Caso deseje conversar sobre o que está sentindo, o *Centro de Valorização da Vida* te ajudará da melhor forma e sem julgamentos, através do número 141 (ligação paga) ou pelo endereço: www.cvv.org.br — para chat, Skype, e-mail e mais informações sobre ligação gratuita."
O que responder quando perguntarem sobre férias com Desafiyou?,"👾 *FÉRIAS COM DESAFIYOU!*

O verão ☀️ dos desafios mais malucos e divertidos chegaram na *Costa do Sauipe*.
Esportes, gincanas, game shows, charadas, jogos, desafios digitais e muito mais.

👾 Se liga na nossa *programação diária*:

 ▪️ *DesafiYou* nos restaurantes 09h
 ▪️ *Momento DesafiYou* nas piscinas 12h
 ▪️ *Desafios Tik Tok*
 ▪️ *High Jump* (simulador de Bungee Jump) 10h às 17h (04 a 15 anos) - em frente ao Hotel Brisa

👾 E agora, as nossas *atrações especiais*!

▪️ *De 08 e 09 de Janeiro*, clínica de Vôlei com a ex jogadora da seleção *Fofão*. 🏐 
▪️ *12 e 14 de Janeiro*, a dupla YouTuber 🎮 *Gabriel e Shirley*.
▪️ *De 14 e 15 de Janeiro*, clínica de Tênis 🎾 com *Fernando Meligeni*.
▪️ * Dia 23, 25 e 27 de Janeiro* desafios  com a dupla YouTuber 🎮 *Dearo e Manu*.
▪️ *De 24 a 27 de Janeiro*, clínica de Futevôlei ⚽ com a *campeã mundial Josy*.

E muito mais! 
Para conferir horários e detalhes, consulte o item ""Programação"" para o dia desejado, no menu principal."
O que enviar ao usuário se o atendimento for finalizado por inatividade?,"Sinto muito. 🙁 Por favor, tente iniciar um novo contato. Assim posso te ajudar!
"
Qual a mensagem a ser enviada quando selecionarem clube de férias?,"Sorria! Você chegou na sua segunda casa! 🏡

Há mais de 20 anos fazemos famílias felizes através do nosso *Clube de Férias*​. 
Transmitimos a alegria dos nossos destinos, com experiências incríveis para você e a sua família.  🤩

👉🏼  Para atendimento exclusivo, clique aqui: 
https://wa.link/mnqi83


"
O que enviar quando o hóspede (sócio) selecionar a opção de programação exclusiva para sócios no menu principal?,Veja o que temos de Programação do Clube de Férias por aqui ⭐
Qual mensagem enviar quando o hóspede selecionar que ele é do clube de férias na recepcionista?,"Sorria! Você chegou na sua segunda casa! 🏡

Há mais de 20 anos fazemos famílias felizes através do nosso *Clube de Férias*​. 
Transmitimos a alegria dos nossos destinos, com experiências incríveis para você e a sua família.  🤩

👉🏼  Para atendimento exclusivo, clique aqui: 
https://wa.me/5571981022539"
O que responder quando perguntarem se as bebidas ficam disponíveis 24h,"🍹 As bebidas ficam disponíveis nos seguintes horários:

Bar do Lobby 
🕛 10h às 01h

Bares das piscinas
🕛 10h às 18h"
O que responder quando perguntarem sobre cervejas sem álcool?,Certo! É possível encontrar opções de cervejas sem álcool nos nossos bares espalhados pelo complexo. 🍻
O que responder se o hóspede perguntar se o hotel tem serviço de buscar malas/bagagem?,Para solicitar o serviço de mensageiro é bem simples! Basta procurar a recepção do seu hotel de hospedagem que a nossa equipe irá te ajudar com suas bagagens. 🧳
Qual mensagem enviar se solicitado agendamento e o período de hospedagem seja menor que 7 noites?,"⚠️ Para os hóspedes que possuem hospedagem com o período menor que 7 noites, orientamos que verifiquem diretamente nos *restaurantes temáticos* a disponibilidade de reserva a partir das 19h."
